"Part";"Value";"Device";"Package";"Description";"";
"BAT1";"";"BATTERYA23";"BATTERY-A23";"Battery Holders";"";
"C1";"10u";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C2";"100n";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C3";"10u";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"D1";"";"1N821";"DO35Z10";"Reference DIODE";"";
"D2";"";"1N821";"DO35Z10";"Reference DIODE";"";
"IC1";"TLC272";"TLC272P";"DIL08";"OP AMP";"";
"IN";"";"M02LOCK";"1X02_LOCK";"Header 2";"";
"INPUT-SELECT";"";"M03LOCK";"1X03_LOCK";"Header 3";"";
"Q4";"2N5484";"2N5484";"TO92-";"N-Channel JFETs";"";
"R1";"10K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R2";"1.2K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R3";"1M";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R4";"10K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R5";"150K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R6";"100K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R7";"1K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R8";"1K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R9";"";"TRIMPOT3386";"TRIM-3386";"SMT trimmer potentiometer part number TC33X";"";
"R10";"1K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"TO-HEADSET";"AUDIO-JACK3";"AUDIO-JACK3";"AUDIO-JACK-TRRS-SMD";"Audio jack - 3.5mm TRRS variety - two rings.";"";
"TO-PHONE";"AUDIO-JACK3";"AUDIO-JACK3";"AUDIO-JACK-TRRS-SMD";"Audio jack - 3.5mm TRRS variety - two rings.";"";
