"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SPICEPREFIX";
"C1";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";
"C2";"100uF";"CPOL-EUC";"PANASONIC_C";"POLARIZED CAPACITOR, European symbol";"";"";
"C3";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";
"C4";"0.1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";
"C5";"10uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";
"C6";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C7";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C9";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C10";"56nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C11";"2.2pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C12";"68uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"C";
"C13";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C14";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C15";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"C16";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"C";
"CN1";"";"JST_2PIN-THM";"JST-PH-2-THM";"JST 2-Pin Connectors of various flavors";"";"";
"D1";"BAT54S";"BAT54S";"SOT23";"Schottky Diodes";"";"";
"D2";"B130-13-F";"DIODESMA";"SMA-DIODE";"Diode";"";"";
"IC1";"OPA1642";"OPA1642";"SO08";"";"";"";
"IC2";"MCP73831";"MCP73831";"SOT-23-5";"";"";"";
"IC3";"QS6K1";"QS6K1";"SOT457R_PHILIPS";"";"";"";
"IC4";"BQ297X";"BQ297X-BATTERY-MANAGERLONG";"WSON-6-LONG";"";"";"";
"IC5";"SC4503";"SC4503";"SOT23-5";"";"";"";
"IC6";"TPS7A49";"TPS7A49";"MSOP-8";"";"";"";
"J1";"HEADPHONES";"TRRS-1/8"-3.5MMLGPADS";"TRRS_SJ-43514-SMT-TR";"Audio jack - 3.5mm TRRS variety - two rings.";"";"";
"J2";"PHONE";"TRRS-1/8"-3.5MMLGPADS";"TRRS_SJ-43514-SMT-TR";"Audio jack - 3.5mm TRRS variety - two rings.";"";"";
"J3";"Mixer";"TRS-1/8"-3.5MM";"TRS_SJ-3524-SMT";"";"";"";
"J4";"";"USB_MICRO-BREDUCED_PASTE";"USB-B-MICRO-SMD_RED_PASTE";"USB Type Micro-B Connector";"CONN-11752";"";
"J5";"Battery";"CONN_02LOCK";"1X02_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"L1";"100uH/±5%/500mA";"L-EUL3225M";"L3225M";"INDUCTOR, European symbol";"";"L";
"L2";"2.7uH";"INDUCTORCR54";"CR54";"Inductors";"";"";
"LED1";"Power";"LED3MM";"LED3MM";"LED";"";"";
"LED2";"Charge";"LED3MM";"LED3MM";"LED";"";"";
"Q1";"MMBFJ201";"J201SOT-23";"SOT23-3";"N-channel JFET";"";"";
"R1";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R2";"10M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R3";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R4";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R5";"2.2K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R6";"50K";"POTTHUMBPOT14";"THUMBPOT14MM";"http://www.taydaelectronics.com/10k-ohm-linear-taper-potentiometer-round-shaft-pcb-9mm.html";"";"";
"R7";"220";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R8";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R9";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R10";"1.2K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R11";"2.2K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R12";"390";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R13";"4.7K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R14";"470";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R15";"10M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R16";"10M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R17";"2.2k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R18";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R19";"15k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R20";"1M";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R21";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R22";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R23";"11k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"SW1";"SWITCH_DPDT";"SWITCH_DPDT";"SWITCH_DPDT_CL-SB-22B";"";"";"";
"SW2";"INPUT-select";"SWITCH_SPDTCL-SB-12B";"SWITCH_SPDT_CL-SB-12B";"";"";"";
"SW3";"SPDT";"SWITCH_SPDTCL-SB-12B";"SWITCH_SPDT_CL-SB-12B";"";"";"";
